2026-08-23 13:05:15,866 - INFO - Logging initialized to /home/dali/Documents/ReMow-Rover-Tests/Repeat/Logs/readRecordedRun-2026-08-23_13-05-15.log
2026-08-23 13:05:15,868 - INFO - RoboClaw opened successfully on /dev/serial/by-id/usb-Basicmicro_Inc._USB_Roboclaw_2x15A-if00
2026-08-23 13:05:16,171 - INFO - Encoders reset to zero
2026-08-23 13:05:16,171 - INFO - Starting readRecordedRun with combination: 55
2026-08-23 13:05:16,171 - INFO - Selected most recent recording: 55_20260510-134004_GPSData.csv
2026-08-23 13:05:16,177 - INFO - GREEN_LED initialized on GPIO 17
2026-08-23 13:05:16,179 - INFO - ENU origin from first waypoint: 37.9008713333, -97.66418
2026-08-23 13:05:30,833 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (14.6s)
2026-08-23 13:05:31,033 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (14.8s)
2026-08-23 13:05:31,226 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (15.0s)
2026-08-23 13:05:31,427 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (15.2s)
2026-08-23 13:05:31,633 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (15.4s)
2026-08-23 13:05:31,830 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (15.6s)
2026-08-23 13:05:32,035 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (15.8s)
2026-08-23 13:05:32,223 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (16.0s)
2026-08-23 13:05:32,438 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (16.2s)
2026-08-23 13:05:32,628 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (16.4s)
2026-08-23 13:05:32,831 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (16.6s)
2026-08-23 13:05:33,031 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (16.8s)
2026-08-23 13:05:33,225 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (17.0s)
2026-08-23 13:05:33,426 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (17.2s)
2026-08-23 13:05:33,626 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (17.4s)
2026-08-23 13:05:33,829 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (17.6s)
2026-08-23 13:05:34,030 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (17.8s)
2026-08-23 13:05:34,227 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (18.0s)
2026-08-23 13:05:34,436 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (18.2s)
2026-08-23 13:05:34,627 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (18.4s)
2026-08-23 13:05:34,826 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (18.6s)
2026-08-23 13:05:35,031 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (18.8s)
2026-08-23 13:05:35,227 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (19.0s)
2026-08-23 13:05:35,424 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (19.2s)
2026-08-23 13:05:35,626 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (19.4s)
2026-08-23 13:05:35,824 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (19.6s)
2026-08-23 13:05:36,032 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (19.8s)
2026-08-23 13:05:36,227 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (20.0s)
2026-08-23 13:05:36,438 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (20.2s)
2026-08-23 13:05:36,625 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (20.4s)
2026-08-23 13:05:36,828 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (20.6s)
2026-08-23 13:05:37,034 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (20.8s)
2026-08-23 13:05:37,225 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (21.0s)
2026-08-23 13:05:37,427 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (21.2s)
2026-08-23 13:05:37,632 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (21.4s)
2026-08-23 13:05:37,830 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (21.6s)
2026-08-23 13:05:38,032 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (21.8s)
2026-08-23 13:05:38,229 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (22.0s)
2026-08-23 13:05:38,435 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (22.2s)
2026-08-23 13:05:38,639 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (22.4s)
2026-08-23 13:05:38,840 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (22.6s)
2026-08-23 13:05:39,048 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (22.8s)
2026-08-23 13:05:39,242 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (23.0s)
2026-08-23 13:05:39,444 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (23.2s)
2026-08-23 13:05:39,650 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (23.4s)
2026-08-23 13:05:39,857 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (23.6s)
2026-08-23 13:05:40,060 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (23.8s)
2026-08-23 13:05:40,255 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (24.0s)
2026-08-23 13:05:40,481 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (24.2s)
2026-08-23 13:05:40,678 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (24.4s)
2026-08-23 13:05:40,869 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (24.6s)
2026-08-23 13:05:41,073 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (24.8s)
2026-08-23 13:05:41,463 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (25.2s)
2026-08-23 13:05:41,671 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (25.4s)
2026-08-23 13:05:41,866 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (25.6s)
2026-08-23 13:05:42,064 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (25.8s)
2026-08-23 13:05:42,266 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (26.0s)
2026-08-23 13:05:42,470 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (26.2s)
2026-08-23 13:05:42,664 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (26.4s)
2026-08-23 13:05:42,860 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (26.6s)
2026-08-23 13:05:43,068 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (26.8s)
2026-08-23 13:05:43,263 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (27.0s)
2026-08-23 13:05:43,461 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (27.2s)
2026-08-23 13:05:43,669 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (27.4s)
2026-08-23 13:05:43,868 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (27.6s)
2026-08-23 13:05:44,076 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (27.8s)
2026-08-23 13:05:44,275 - INFO - GPS status: relPosValid=1, carrSoln=1, headingValid=1 (28.0s)
